diet,sex,subject,day,weight
ds,female,95,13,95.4
ds,male,96,13,54.6
ds,female,99,13,103.4
ds,female,100,13,86.7
sf,male,101,13,31.4
sf,male,107,13,NA
sf,female,112,13,69.6
sf,female,113,13,65.7
sf,male,115,13,23.3
sf,male,120,13,27.8
sf,female,123,13,50.5
sf,male,135,13,NA
sf,female,139,13,55
sf,male,150,13,31.3
ag,male,1,14,41.6
ag,female,2,14,38.2
ag,female,7,14,45.5
ag,male,8,14,46.8
ag,female,9,14,59.6
ag,female,12,14,44.9
ag,male,14,14,42.1
ag,female,15,14,NA
ag,female,16,14,40.8
ag,male,18,14,45.1
ag,female,19,14,60.4
ag,female,20,14,NA
ag,male,23,14,47.6
ag,female,24,14,39.8
ag,male,26,14,30
ag,male,28,14,35.1
ag,female,30,14,39.4
ag,female,31,14,45.6
ag,female,36,14,NA
ag,male,39,14,35.8
ag,male,40,14,34
ag,female,41,14,47.2
ag,male,42,14,38.9
ag,female,48,14,53.5
ds,female,51,14,92.5
ds,female,52,14,81.2
ds,female,53,14,96.6
ds,female,54,14,100.2
ds,male,56,14,47.7
ds,male,57,14,48.1
ds,female,58,14,91.8
ds,female,59,14,74.5
ds,female,60,14,87.8
ds,female,61,14,67.6
ds,female,62,14,95.5
ds,female,63,14,62.8
ds,female,65,14,86
ds,male,66,14,45.9
ds,female,68,14,81.6
ds,male,69,14,53.8
ds,female,70,14,84.1
ds,female,71,14,93.8
ds,male,72,14,44.2
ds,male,73,14,49.1
ds,female,74,14,86
ds,male,75,14,55.2
ds,female,76,14,84.4
ds,male,77,14,59.1
ds,male,78,14,42.1
ds,male,79,14,52
ds,female,80,14,102.1
ds,male,81,14,46.6
ds,female,82,14,91.8
ds,female,83,14,70.3
ds,female,84,14,89.8
ds,male,85,14,52.1
ds,male,86,14,49.4
ds,female,87,14,73
ds,male,88,14,51.7
ds,male,89,14,47.5
ds,male,90,14,48
ds,female,91,14,86.1
ds,male,93,14,61.3
ds,male,94,14,51.9
ds,female,95,14,98.8
ds,male,96,14,48.1
ds,female,99,14,85.6
ds,female,100,14,104.6
sf,male,101,14,27.6
sf,male,107,14,NA
sf,female,112,14,51
sf,female,113,14,40.2
sf,male,115,14,22.9
sf,male,120,14,29
sf,female,123,14,43.2
sf,male,135,14,NA
sf,female,139,14,44.4
sf,male,150,14,31.1
ag,male,1,15,37.5
