"Statistic","Quarter","County","UNIT","VALUE"
"New House Registrations","1998Q1","Donegal","Number","138"
"New House Registrations","1998Q1","Monaghan","Number","41"
"New House Registrations","1998Q2","All Counties","Number","8223"
"New House Registrations","1998Q2","Carlow","Number","94"
"New House Registrations","1998Q2","Dublin","Number","2709"
"New House Registrations","1998Q2","Kildare","Number","679"
"New House Registrations","1998Q2","Kilkenny","Number","108"
"New House Registrations","1998Q2","Laois","Number","40"
"New House Registrations","1998Q2","Longford","Number","5"
"New House Registrations","1998Q2","Louth","Number","341"
"New House Registrations","1998Q2","Meath","Number","372"
"New House Registrations","1998Q2","Offaly","Number","60"
"New House Registrations","1998Q2","Westmeath","Number","211"
"New House Registrations","1998Q2","Wexford","Number","192"
"New House Registrations","1998Q2","Wicklow","Number","229"
"New House Registrations","1998Q2","Clare","Number","204"
"New House Registrations","1998Q2","Cork","Number","829"
"New House Registrations","1998Q2","Kerry","Number","209"
"New House Registrations","1998Q2","Limerick","Number","386"
"New House Registrations","1998Q2","Tipperary","Number","237"
"New House Registrations","1998Q2","Waterford","Number","265"
"New House Registrations","1998Q2","Galway","Number","380"
"New House Registrations","1998Q2","Leitrim","Number","10"
"New House Registrations","1998Q2","Mayo","Number","232"
"New House Registrations","1998Q2","Roscommon","Number","25"
"New House Registrations","1998Q2","Sligo","Number","123"
"New House Registrations","1998Q2","Cavan","Number","46"
"New House Registrations","1998Q2","Donegal","Number","211"
"New House Registrations","1998Q2","Monaghan","Number","26"
"New House Registrations","1998Q3","All Counties","Number","6790"
"New House Registrations","1998Q3","Carlow","Number","118"
"New House Registrations","1998Q3","Dublin","Number","1649"
"New House Registrations","1998Q3","Kildare","Number","546"
"New House Registrations","1998Q3","Kilkenny","Number","79"
"New House Registrations","1998Q3","Laois","Number","139"
"New House Registrations","1998Q3","Longford","Number","9"
"New House Registrations","1998Q3","Louth","Number","257"
"New House Registrations","1998Q3","Meath","Number","166"
"New House Registrations","1998Q3","Offaly","Number","57"
"New House Registrations","1998Q3","Westmeath","Number","213"
"New House Registrations","1998Q3","Wexford","Number","506"
"New House Registrations","1998Q3","Wicklow","Number","147"
"New House Registrations","1998Q3","Clare","Number","318"
"New House Registrations","1998Q3","Cork","Number","778"
"New House Registrations","1998Q3","Kerry","Number","122"
"New House Registrations","1998Q3","Limerick","Number","345"
"New House Registrations","1998Q3","Tipperary","Number","159"
"New House Registrations","1998Q3","Waterford","Number","230"
"New House Registrations","1998Q3","Galway","Number","308"
"New House Registrations","1998Q3","Leitrim","Number","16"
"New House Registrations","1998Q3","Mayo","Number","182"
"New House Registrations","1998Q3","Roscommon","Number","53"
"New House Registrations","1998Q3","Sligo","Number","151"
"New House Registrations","1998Q3","Cavan","Number","56"
"New House Registrations","1998Q3","Donegal","Number","153"
"New House Registrations","1998Q3","Monaghan","Number","33"
"New House Registrations","1998Q4","All Counties","Number","6516"
"New House Registrations","1998Q4","Carlow","Number","82"
"New House Registrations","1998Q4","Dublin","Number","2203"
"New House Registrations","1998Q4","Kildare","Number","486"
"New House Registrations","1998Q4","Kilkenny","Number","115"
"New House Registrations","1998Q4","Laois","Number","32"
"New House Registrations","1998Q4","Longford","Number","11"
"New House Registrations","1998Q4","Louth","Number","281"
"New House Registrations","1998Q4","Meath","Number","239"
"New House Registrations","1998Q4","Offaly","Number","81"
"New House Registrations","1998Q4","Westmeath","Number","102"
"New House Registrations","1998Q4","Wexford","Number","346"
"New House Registrations","1998Q4","Wicklow","Number","192"
"New House Registrations","1998Q4","Clare","Number","92"
"New House Registrations","1998Q4","Cork","Number","656"
"New House Registrations","1998Q4","Kerry","Number","185"
"New House Registrations","1998Q4","Limerick","Number","257"
"New House Registrations","1998Q4","Tipperary","Number","153"
"New House Registrations","1998Q4","Waterford","Number","206"
"New House Registrations","1998Q4","Galway","Number","262"
"New House Registrations","1998Q4","Leitrim","Number","1"
"New House Registrations","1998Q4","Mayo","Number","139"
"New House Registrations","1998Q4","Roscommon","Number","36"
"New House Registrations","1998Q4","Sligo","Number","73"
"New House Registrations","1998Q4","Cavan","Number","41"
"New House Registrations","1998Q4","Donegal","Number","234"
"New House Registrations","1998Q4","Monaghan","Number","11"
"New House Registrations","1999Q1","All Counties","Number","7997"
"New House Registrations","1999Q1","Carlow","Number","280"
"New House Registrations","1999Q1","Dublin","Number","1963"
"New House Registrations","1999Q1","Kildare","Number","450"
"New House Registrations","1999Q1","Kilkenny","Number","135"
"New House Registrations","1999Q1","Laois","Number","184"
"New House Registrations","1999Q1","Longford","Number","6"
"New House Registrations","1999Q1","Louth","Number","127"
"New House Registrations","1999Q1","Meath","Number","539"
"New House Registrations","1999Q1","Offaly","Number","73"
"New House Registrations","1999Q1","Westmeath","Number","128"
"New House Registrations","1999Q1","Wexford","Number","503"
